log10_M,RedFraction
8.0,0.022791766
8.25,0.019019416
8.5,0.023963677
8.75,0.040812775
9.0,0.076790504
9.25,0.11462743
9.5,0.14072558
9.75,0.18656604
10.0,0.25204107
10.25,0.3275588
10.5,0.4268389
10.75,0.52305615
11.0,0.58095175
11.25,0.61685497
