log10_z,log10_SFRD
-1.0,-1.8161535
-0.39794,-1.623721
0.0,-1.3590026
0.30103,-1.2470955
0.47712123,-1.3441312
0.60206,-1.5102286
0.69897,-1.7529628
0.7781513,-1.9587842
0.845098,-2.247394
0.90309,-2.6755295
0.9542425,-2.9686697
