log10_M,log10_R
9.0,0.036704615
9.25,0.049542356
9.5,0.08149469
9.75,0.15044862
10.0,0.23367357
10.25,0.39183006
10.5,0.488105
10.75,0.5447009
11.0,0.59577
11.25,0.6656499
11.5,0.8044752
