log10_M,log10_phi
7.125,-3.836389230073493
7.375,-3.6808351540069006
7.625,-3.483809718450444
7.875,-2.9801128991168864
8.125,-2.2577437035774426
8.375,-1.7424159466762699
8.625,-1.509989332230903
8.875,-1.444048645736325
9.125,-1.4940145507860814
9.375,-1.6886308695599754
9.625,-2.002032343058846
9.875,-2.2296826416584206
10.125,-2.505136795066018
10.375,-2.8715283607270248
10.625,-3.355708030733479
10.875,-4.018207895090256
11.125,-4.800918840990105
11.375,-5.89767776877072
