log10_M,HalfMassRadius,pc16,pc84
0.1,-0.26826593,-0.5293285,-0.0072033405
0.2,-0.30116096,-0.5513952,-0.050926745
0.3,-0.33095896,-0.5809404,-0.0809775
0.4,-0.35672435,-0.60972834,-0.10372037
0.5,-0.38215208,-0.63849044,-0.12581372
0.6,-0.406468,-0.66469467,-0.14824134
0.7,-0.43078375,-0.6890168,-0.17255071
0.8,-0.45535886,-0.7120364,-0.19868135
0.9,-0.47880557,-0.73282444,-0.2247867
1.0,-0.5017942,-0.75246793,-0.2511205
1.1,-0.5239711,-0.77092683,-0.2770153
1.2,-0.54524946,-0.78829783,-0.3022011
1.3,-0.5658773,-0.80490625,-0.3268484
1.4,-0.586152,-0.8210906,-0.35121349
1.5,-0.60556614,-0.83637226,-0.37476003
1.6,-0.62406904,-0.8507278,-0.39741027
1.7,-0.64142656,-0.8639506,-0.41890252
1.8,-0.6587571,-0.877188,-0.44032615
1.9,-0.6751801,-0.88959086,-0.46076927
2.0,-0.69079006,-0.9012835,-0.4802966
2.1,-0.70566845,-0.91237545,-0.49896145
2.2,-0.7207297,-0.92380834,-0.5176511
2.3,-0.73458874,-0.9342247,-0.53495276
2.4,-0.74934804,-0.9457597,-0.5529364
2.5,-0.7623522,-0.95579547,-0.568909
2.6,-0.77533376,-0.9661066,-0.58456093
2.7,-0.7886486,-0.9770974,-0.6001998
2.8,-0.80178285,-0.98830974,-0.61525595
2.9,-0.81488,-0.9999517,-0.6298083
