log10_M,HalfMassRadius,pc16,pc84
0.1,2.0321147,1.0946654,2.969564
0.2,1.9197847,0.4222678,3.4173017
0.3,1.8364575,-4.4063015,8.079217
0.4,1.7632972,-15.703776,19.230371
0.5,1.7048553,-35.88132,39.291035
0.6,1.6573569,-67.49005,70.80476
0.7,1.6164293,-113.096924,116.32979
0.8,1.5803843,-175.26918,178.42995
0.9,1.5456626,-256.57678,259.6681
1.0,1.5097561,-359.58878,362.6083
1.1,1.4756753,-486.86902,489.82037
1.2,1.444142,-640.9835,643.8718
1.3,1.4117317,-824.5023,827.3258
1.4,1.3832654,-1039.9874,1042.754
1.5,1.3520527,-1290.013,1292.717
1.6,1.3213451,-1577.1418,1579.7844
1.7,1.2931178,-1903.939,1906.5251
1.8,1.2643281,-2272.9746,2275.5034
1.9,1.2353798,-2686.8145,2689.2852
2.0,1.2067093,-3148.0256,3150.4392
2.1,1.177311,-3659.1758,3661.5303
2.2,1.146701,-4222.8325,4225.1255
2.3,1.1166047,-4841.5596,4843.793
2.4,1.0860734,-5517.927,5520.0986
2.5,1.0565827,-6254.498,6256.6113
2.6,1.0270107,-7053.842,7055.8955
2.7,0.99663615,-7918.5254,7920.5186
2.8,0.9674519,-8851.114,8853.05
2.9,0.9357196,-9854.179,9856.05
