log10_M,log10_phi
8.125,-1.2823911639194132
8.375,-1.5051910952123666
8.625,-1.7341339867362535
8.875,-1.9326090625343644
9.125,-2.104677397348157
9.375,-2.2639898062458976
9.625,-2.4343041931903096
9.875,-2.5687665930723456
10.125,-2.6486177268079656
10.375,-2.81550455601077
10.625,-3.021183811110508
10.875,-3.324009193929474
11.125,-3.7379275440540134
11.375,-4.303333267793129
11.625,-5.0153760157582905
11.875,-5.916982923966106
12.125,-7.356315617796369
12.375,-inf
