log10_M,log10_phi
7.125,-1.220874853925088
7.375,-1.318540628821591
7.625,-1.3504115266480614
7.875,-1.378163643758108
8.125,-1.3974084718515443
8.375,-1.4743962691842547
8.625,-1.5660304537631273
8.875,-1.702711209483987
9.125,-1.8279212200253274
9.375,-1.9592994668452237
9.625,-2.0950527490038757
9.875,-2.1974821415080084
10.125,-2.4054033716613237
10.375,-2.6874057883912497
10.625,-3.07400512159786
10.875,-3.7215865097150385
11.125,-4.78228435006865
11.375,-inf
