log10_HI,log10_phi
7.125,-0.9875001361118703
7.375,-1.1102249951235075
7.625,-1.1720057815091154
7.875,-1.2191099104508305
8.125,-1.2613316223342468
8.375,-1.3456182345828354
8.625,-1.4475625986118352
8.875,-1.582072453368411
9.125,-1.6972019880936144
9.375,-1.8503182353404777
9.625,-1.9122134144417045
9.875,-2.2013532950727543
10.125,-2.5901463859897214
10.375,-3.088973726247805
10.625,-3.7964089927602567
10.875,-4.715834180825947
11.125,-5.920949111183708
11.375,-7.65734561346035
