log10_M,log10_R
9.0,-0.0032501295
9.25,0.052908085
9.5,0.11425518
9.75,0.15306818
10.0,0.19461182
10.25,0.24955696
10.5,0.27322522
10.75,0.31809807
11.0,0.36310273
11.25,0.39301378
11.5,0.68152773
