log10_M,HalfMassRadius,pc16,pc84
0.1,3.0129046,2.7833438,3.2424655
0.2,2.8324785,2.595388,3.069569
0.3,2.7344637,2.4714513,2.997476
0.4,2.6421318,2.356093,2.9281707
0.5,2.5548425,2.2529123,2.8567727
0.6,2.478602,2.1645052,2.7926986
0.7,2.4101067,2.084808,2.7354052
0.8,2.3500214,2.013522,2.6865208
0.9,2.2947693,1.9470685,2.6424701
1.0,2.2421203,1.8835179,2.6007228
1.1,2.1903353,1.8214725,2.559198
1.2,2.1379273,1.7597226,2.5161319
1.3,2.0868883,1.7004249,2.4733517
1.4,2.0351658,1.6415954,2.4287362
1.5,1.9834278,1.583909,2.3829465
1.6,1.9301662,1.5258358,2.3344967
1.7,1.8771234,1.4690869,2.2851598
1.8,1.824033,1.4133666,2.2346995
1.9,1.7699342,1.3576877,2.1821806
2.0,1.715191,1.3023902,2.127992
2.1,1.6607037,1.2483513,2.073056
2.2,1.6052172,1.1942954,2.016139
2.3,1.5498817,1.1413527,1.9584107
2.4,1.4944273,1.0892336,1.899621
2.5,1.4389915,1.0380551,1.839928
2.6,1.3822801,0.9864998,1.7780604
2.7,1.326008,0.9362556,1.7157604
2.8,1.2692082,0.8863214,1.652095
2.9,1.2112216,0.83599293,1.5864502
