log10_SSFR,Fraction
-13.45,0.0001728253707644282
-13.35,0.0002106309206191469
-13.25,0.00025113686689205977
-13.15,0.0004212618412382938
-13.05,0.0005022737337841195
-12.950000000000001,0.0006426943475302175
-12.850000000000001,0.0008857300251676946
-12.750000000000002,0.0011854740275872497
-12.650000000000002,0.0016067358688255436
-12.550000000000002,0.0024654619298112965
-12.450000000000003,0.0035564220827617493
-12.350000000000003,0.0053089793581697796
-12.250000000000004,0.00820920511131034
-12.150000000000004,0.012524438587584657
-12.050000000000004,0.020350187407511423
-11.950000000000005,0.0393285734345802
-11.850000000000005,0.0537864958575919
-11.750000000000005,0.06217932792533944
-11.650000000000006,0.05732941595826267
-11.550000000000006,0.04044923794813079
-11.450000000000006,0.025964311560937144
-11.350000000000007,0.02406593287894663
-11.250000000000007,0.0268230376219229
-11.150000000000007,0.02911837457738796
-11.050000000000008,0.030384860497521034
-10.950000000000008,0.030176929973320082
-10.850000000000009,0.028607999654349257
-10.750000000000009,0.026936454271487054
-10.65000000000001,0.02594810918242798
-10.55000000000001,0.024959764093368905
-10.45000000000001,0.02392551226520053
-10.35000000000001,0.025102885103533198
-10.25000000000001,0.027627755754544767
-10.150000000000011,0.03421942341135679
-10.050000000000011,0.04275267609285043
-9.950000000000012,0.0524822043876041
-9.850000000000012,0.05719979693018935
-9.750000000000012,0.04923092710009829
-9.650000000000013,0.03734648246362566
-9.550000000000013,0.02616684129230171
-9.450000000000014,0.017458062843625444
-9.350000000000014,0.010288510353319867
-9.250000000000014,0.006051588373173182
-9.150000000000015,0.0030892535024141543
-9.050000000000015,0.0014204085159701444
-8.950000000000015,0.0007183054472396547
-8.850000000000016,0.00034024994869246805
-8.750000000000016,0.0001755257671826224
-8.650000000000016,4.860713552749544e-05
-8.550000000000017,2.7003964181941907e-06
