log10_M,HalfMassRadius,pc16,pc84
0.1,8.787787,8.553179,9.022396
0.2,8.729159,8.486181,8.972137
0.3,8.687425,8.39429,8.980559
0.4,8.654411,8.154103,9.154719
0.5,8.624171,7.6635838,9.584759
0.6,8.59693,6.8728714,10.320988
0.7,8.571107,5.726289,11.415925
0.8,8.546436,4.1632953,12.929577
0.9,8.522842,2.1210642,14.924621
1.0,8.498481,-0.46596718,17.462929
1.1,8.47533,-3.6599493,20.610611
1.2,8.453424,-7.5251627,24.43201
1.3,8.431603,-12.127187,28.990395
1.4,8.410583,-17.529766,34.35093
1.5,8.3906,-23.79717,40.57837
1.6,8.370767,-30.994797,47.73633
1.7,8.350446,-39.187817,55.888706
1.8,8.330556,-48.439846,65.10096
1.9,8.310853,-58.815666,75.43737
2.0,8.291704,-70.37948,86.96288
2.1,8.272524,-83.19638,99.741425
2.2,8.25364,-97.33061,113.83789
2.3,8.234951,-112.84683,129.31674
2.4,8.216443,-129.80963,146.24252
2.5,8.19814,-148.28348,164.67975
2.6,8.1798525,-168.33313,184.69284
2.7,8.162887,-190.02187,206.34764
2.8,8.145718,-213.41579,229.70723
2.9,8.129182,-238.57857,254.83693
