log10_M,RedFraction
8.0,0.18217075
8.25,0.17368662
8.5,0.19214526
8.75,0.21666759
9.0,0.23298784
9.25,0.23795547
9.5,0.29453182
9.75,0.35450298
10.0,0.46678886
10.25,0.59185034
10.5,0.6870975
10.75,0.7224499
11.0,0.7020603
11.25,0.6441886
