log10_M,Metallicity,pc16,pc84
9.0,8.526878,8.445755,8.627767
9.2,8.592973,8.517612,8.693138
9.4,8.658627,8.586831,8.752206
9.6,8.727941,8.661915,8.821777
9.8,8.797788,8.734911,8.881234
10.200000000000001,8.905274,8.843544,8.976598
10.4,8.969169,8.908889,9.043985
10.600000000000001,9.033141,8.967813,9.113539
10.8,9.095823,9.024366,9.183054
11.000000000000002,9.153015,9.075613,9.243467
