log10_M,HalfMassRadius,pc16,pc84
0.1,-0.04480698,-0.14690202,0.057288066
0.2,-0.043110363,-0.14430419,0.05808346
0.3,-0.04282154,-0.143597,0.05795393
0.4,-0.044108845,-0.14385775,0.055640064
0.5,-0.045937344,-0.14391974,0.052045055
0.6,-0.048061945,-0.14374979,0.0476259
0.7,-0.050459206,-0.14348075,0.042562336
0.8,-0.05303115,-0.14317237,0.037110064
0.9,-0.055616297,-0.1428406,0.031608008
1.0,-0.057825692,-0.14225683,0.02660545
1.1,-0.06042166,-0.14230311,0.02145978
1.2,-0.06302409,-0.14266981,0.016621634
1.3,-0.06522291,-0.14296836,0.012522526
1.4,-0.06711054,-0.1432797,0.009058617
1.5,-0.069036424,-0.1439257,0.0058528483
1.6,-0.07104285,-0.14491358,0.0028278828
1.7,-0.07265662,-0.14573497,0.00042173266
1.8,-0.07434657,-0.14682722,-0.001865916
1.9,-0.07598579,-0.14803584,-0.0039357394
2.0,-0.07745128,-0.1492137,-0.0056888685
2.1,-0.07875559,-0.15035185,-0.0071593225
2.2,-0.080188766,-0.15172148,-0.008656062
2.3,-0.0817042,-0.1532602,-0.010148197
2.4,-0.083119184,-0.1547725,-0.011465862
2.5,-0.0843922,-0.15620658,-0.012577817
2.6,-0.08556968,-0.15760073,-0.013538621
2.7,-0.08667529,-0.1589723,-0.014378279
2.8,-0.08785399,-0.16046143,-0.015246555
2.9,-0.08902001,-0.16197883,-0.016061187
