log10_M,log10_R
9.0,0.13920039
9.25,0.18359274
9.5,0.22595246
9.75,0.2778419
10.0,0.35252136
10.25,0.40518332
10.5,0.45316702
10.75,0.4984189
11.0,0.49691436
11.25,0.5334703
11.5,0.442819
