Log10_M,median,pc16,pc84
9.5,-0.08318976,-0.5609271,0.25960892
9.75,-0.19980638,-0.64238507,0.13444436
10.0,-0.34321916,-0.7637278,-0.010822296
10.25,-0.50227743,-0.91395587,-0.15011548
10.5,-0.6830135,-1.122012,-0.30021188
10.75,-0.88294274,-1.3885714,-0.47567526
11.0,-1.0610825,-1.6237345,-0.651801
11.25,-1.1915563,-1.7639633,-0.78912747
11.5,-1.290409,-1.8299077,-0.9058723
