log10_M,RedFraction
8.0,0.1431404
8.25,0.14005327
8.5,0.112344295
8.75,0.077980764
9.0,0.058317482
9.25,0.05041518
9.5,0.043413818
9.75,0.037733663
10.0,0.039973445
10.25,0.054613322
10.5,0.08006878
10.75,0.109408915
11.0,0.14447977
11.25,0.1752431
