log10_M,HalfMassRadius,pc16,pc84
0.1,-0.022839326,-0.13003907,0.084360406
0.2,-0.030568883,-0.13081568,0.06967793
0.3,-0.0400382,-0.13646175,0.056385353
0.4,-0.049566276,-0.14318593,0.044053376
0.5,-0.058975436,-0.14989132,0.031940438
0.6,-0.06838022,-0.15667672,0.019916281
0.7,-0.07729734,-0.16321783,0.008623153
0.8,-0.08543238,-0.16930556,-0.0015591979
0.9,-0.09326634,-0.17544153,-0.011091135
1.0,-0.10062143,-0.18144315,-0.019799702
1.1,-0.107447475,-0.1872428,-0.027652152
1.2,-0.11362109,-0.19268768,-0.03455451
1.3,-0.11945885,-0.1980538,-0.040863894
1.4,-0.12532943,-0.20366722,-0.046991654
1.5,-0.13095868,-0.20921692,-0.05270043
1.6,-0.13620715,-0.21453586,-0.057878427
1.7,-0.14118278,-0.2197132,-0.062652364
1.8,-0.1459139,-0.22476554,-0.06706226
1.9,-0.15042722,-0.2297134,-0.07114105
2.0,-0.15472008,-0.23455212,-0.07488804
2.1,-0.15879068,-0.23927991,-0.078301445
2.2,-0.16286582,-0.24412473,-0.08160691
2.3,-0.1668214,-0.24896456,-0.08467825
2.4,-0.17067064,-0.2538151,-0.087526165
2.5,-0.17464189,-0.25890705,-0.090376735
2.6,-0.17821115,-0.2637181,-0.092704214
2.7,-0.18173352,-0.2686041,-0.09486292
2.8,-0.18529382,-0.27364963,-0.09693802
2.9,-0.1888459,-0.27880704,-0.098884754
