log10_M,log10_phi
8.125,-1.2065962766477514
8.375,-1.38005163486253
8.625,-1.5373890163767887
8.875,-1.6785376268792827
9.125,-1.8003148151877264
9.375,-1.934454727140624
9.625,-2.031518900174639
9.875,-2.147303550017422
10.125,-2.1958921091714787
10.375,-2.3265636576783058
10.625,-2.508520933011821
10.875,-2.7355551278021633
11.125,-3.0465258126249113
11.375,-3.4902646937870943
11.625,-4.129200535207244
11.875,-5.051502074402261
12.125,-6.3785920125075215
12.375,-inf
