log10_M,HalfMassRadius,pc16,pc84
0.1,4.032382,3.7311723,4.3335915
0.2,3.6864033,3.3796418,3.9931648
0.3,3.4637332,3.1624222,3.7650442
0.4,3.3152323,3.019313,3.6111515
0.5,3.210718,2.9108953,3.5105405
0.6,3.1098237,2.7992008,3.4204466
0.7,3.0202422,2.6967545,3.34373
0.8,2.9398837,2.6041627,3.2756047
0.9,2.8617852,2.515303,3.2082675
1.0,2.7844105,2.4287271,3.1400938
1.1,2.711792,2.348407,3.075177
1.2,2.6454167,2.2757852,3.0150483
1.3,2.5835462,2.2090688,2.9580235
1.4,2.5259328,2.1479099,2.9039557
1.5,2.4711494,2.0907366,2.8515623
1.6,2.417562,2.0357475,2.7993765
1.7,2.366486,1.9840914,2.7488809
1.8,2.3166983,1.934393,2.6990035
1.9,2.2685995,1.8869177,2.6502814
2.0,2.2224343,1.8417933,2.6030753
2.1,2.1775405,1.7982646,2.5568166
2.2,2.1336932,1.7560384,2.511348
2.3,2.0912883,1.7154667,2.46711
2.4,2.0492465,1.6754444,2.4230487
2.5,2.0082858,1.6366765,2.379895
2.6,1.9688859,1.5996398,2.338132
2.7,1.9302418,1.5635316,2.296952
2.8,1.8919153,1.5279177,2.255913
2.9,1.8540595,1.4929553,2.2151635
