log10_M,HalfMassRadius,pc16,pc84
0.1,8.908267,8.768929,9.0476055
0.2,8.848595,8.702753,8.994436
0.3,8.810773,8.527831,9.093715
0.4,8.781111,8.0846,9.477621
0.5,8.755571,7.2943993,10.216743
0.6,8.733228,6.0698504,11.396605
0.7,8.712374,4.315574,13.109173
0.8,8.69366,1.9367499,15.450569
0.9,8.675381,-1.1643295,18.51509
1.0,8.658036,-5.083358,22.39943
1.1,8.641369,-9.916868,27.199606
1.2,8.625466,-15.761086,33.01202
1.3,8.610647,-22.71202,39.933315
1.4,8.596089,-30.86684,48.059017
1.5,8.581962,-40.321724,57.48565
1.6,8.568594,-51.17269,68.30988
1.7,8.555325,-63.516766,80.62741
1.8,8.542334,-77.45011,94.53478
1.9,8.529585,-93.06912,110.128296
2.0,8.516978,-110.470276,127.50423
2.1,8.504316,-129.7501,146.75874
2.2,8.492384,-151.0042,167.98897
2.3,8.48072,-174.32936,191.29079
2.4,8.469195,-199.8221,216.76048
2.5,8.457729,-227.57884,244.49431
2.6,8.447218,-257.69507,274.58948
2.7,8.436407,-290.26834,307.14114
2.8,8.42624,-325.39417,342.24664
2.9,8.416255,-363.16928,380.0018
