log10_SSFR,Fraction
-13.45,0.0003299023489047242
-13.35,0.0001979414093428345
-13.25,0.0004486671945104249
-13.15,0.00040907891264185803
-13.05,0.0006730007917656374
-12.950000000000001,0.0009237265769332278
-12.850000000000001,0.0011612562681446292
-12.750000000000002,0.002071786751121668
-12.650000000000002,0.002520453945632093
-12.550000000000002,0.0034969648983900767
-12.450000000000003,0.006175771971496437
-12.350000000000003,0.009501187648456057
-12.250000000000004,0.014410134600158353
-12.150000000000004,0.02327790973871734
-12.050000000000004,0.033544470836632354
-11.950000000000005,0.06306413301662708
-11.850000000000005,0.07235418316178412
-11.750000000000005,0.06437054631828978
-11.650000000000006,0.04883874373185537
-11.550000000000006,0.04131697017682766
-11.450000000000006,0.0399577724993402
-11.350000000000007,0.042121931908155184
-11.250000000000007,0.03916600686196886
-11.150000000000007,0.03656637635259963
-11.050000000000008,0.030984428609131698
-10.950000000000008,0.02710477698601214
-10.850000000000009,0.022459751913433624
-10.750000000000009,0.02022961203483769
-10.65000000000001,0.018844022169437848
-10.55000000000001,0.018725257323832147
-10.45000000000001,0.02008445500131961
-10.35000000000001,0.023555027711797308
-10.25000000000001,0.026761678543151226
-10.150000000000011,0.032066508313539195
-10.050000000000011,0.035893375560833995
-9.950000000000012,0.03808392715756136
-9.850000000000012,0.03772763262074426
-9.750000000000012,0.03246239113222486
-9.650000000000013,0.025098970704671417
-9.550000000000013,0.017247294800738982
-9.450000000000014,0.011625758775402482
-9.350000000000014,0.006716811823700185
-9.250000000000014,0.0040907891264185805
-9.150000000000015,0.0017550804961731328
-9.050000000000015,0.0008181578252837161
-8.950000000000015,0.0005278437582475588
-8.850000000000016,0.00014515703351807865
-8.750000000000016,5.278437582475587e-05
-8.650000000000016,2.6392187912377936e-05
-8.550000000000017,1.3196093956188968e-05
