log10_M,HalfMassRadius,pc16,pc84
0.1,3.3540058,3.109358,3.5986536
0.2,3.161409,2.9160419,3.406776
0.3,3.0264187,2.759618,3.2932193
0.4,2.9080644,2.6274707,3.188658
0.5,2.8101616,2.522118,3.098205
0.6,2.730994,2.436713,3.025275
0.7,2.662242,2.3609471,2.9635367
0.8,2.5995665,2.2904902,2.9086428
0.9,2.5394077,2.22236,2.8564556
1.0,2.481923,2.1572323,2.806614
1.1,2.425581,2.0939023,2.7572596
1.2,2.3700688,2.0322073,2.7079303
1.3,2.316183,1.9729741,2.659392
1.4,2.2628922,1.9151454,2.610639
1.5,2.2103138,1.8587955,2.561832
1.6,2.1589172,1.8043506,2.5134838
1.7,2.1074517,1.7505223,2.464381
1.8,2.0563774,1.6977402,2.4150145
1.9,2.0051775,1.6454623,2.3648927
2.0,1.9543483,1.5941625,2.3145342
2.1,1.9034231,1.5433544,2.2634919
2.2,1.8527089,1.4933279,2.21209
2.3,1.8019968,1.4438579,2.1601357
2.4,1.7514863,1.3951287,2.1078439
2.5,1.7010176,1.3469646,2.0550706
2.6,1.650646,1.2994025,2.0018895
2.7,1.5993208,1.2513704,1.9472711
2.8,1.5472741,1.2030752,1.891473
2.9,1.4963381,1.1563188,1.8363575
