log10_M,RedFraction
8.0,0.13729332
8.25,0.15100735
8.5,0.14690056
8.75,0.12530854
9.0,0.091408886
9.25,0.057194002
9.5,0.03488936
9.75,0.0218701
10.0,0.015124483
10.25,0.013774185
10.5,0.015815554
10.75,0.022984494
11.0,0.029422361
11.25,0.036581196
