log10_M,log10_R
9.0,0.12107123
9.25,0.17004275
9.5,0.21953952
9.75,0.27309164
10.0,0.34567508
10.25,0.41267097
10.5,0.44869205
10.75,0.48489845
11.0,0.5272372
11.25,0.56414557
11.5,0.65710187
